State,Year,black_male_mortality,black_female_mortality,white_male_mortality,white_female_mortality
Kansas,1992,826.089233347298,662.865005755415,901.567344202336,896.981497538245
Kansas,1993,833.365835901036,759.311383124959,949.496880485219,948.535951734065
Kansas,1994,857.469757157366,692.936187816734,918.10664400247,939.921440147431
Kansas,1995,879.053484271587,696.034904103279,934.028421602195,960.745365663177
Kansas,1996,844.344676292026,770.641734389728,928.232409583083,949.35119572475
Kansas,1997,800.394507245277,674.661723350862,927.156904645667,931.339297330603
Kansas,1998,819.641777042624,696.540802692136,911.870389160697,952.375535000207
Kentucky,1980,1201.35764464441,940.298172515167,1037.90733547859,797.089563272774
Kentucky,1981,1102.49307479224,872.474220659236,1019.82161273104,795.312833598342
Kentucky,1982,1057.81232718712,870.067886046305,1005.26510080654,789.210285243883
Kentucky,1983,1153.39522798568,903.244881365955,1043.23072132949,809.66384777771
Kentucky,1984,1095.42685106484,895.992429898942,1017.29081483755,805.367978217562
Kentucky,1985,1130.77405974111,965.161290322581,1033.8785046729,852.632732603141
Kentucky,1986,1078.16496800567,946.2701064002,1046.88095694115,847.203855820476
Kentucky,1987,1059.08138288512,899.128762578628,1036.80092235438,851.942539900148
Kentucky,1988,1102.04277203686,950.349532860472,1051.03911961901,889.543274320382
Kentucky,1989,1107.23772904585,877.741124496825,1034.9777919745,898.956654013285
Kentucky,1990,1066.94077243643,910.70860218165,1027.79527516092,884.715082892404
Kentucky,1991,1084.08955317612,877.680812229067,1023.51835334312,884.21621994737
Kentucky,1992,991.695993085139,850.771099053061,1008.18636175736,868.231774334842
Kentucky,1993,1024.50905769524,860.194134282002,1030.66816234122,922.029517800562
Kentucky,1994,1037.89939325104,905.836853365516,1018.65848103543,926.123396639594
Kentucky,1995,1033.48704273907,881.298613459587,1015.47486017471,913.91085158066
Kentucky,1996,949.369383743953,867.077083152692,1002.46497500821,921.013520939779
Kentucky,1997,951.825399083744,891.904354126869,1009.20938196599,936.226936589507
Kentucky,1998,879.085806268083,881.432669602607,977.336498544291,947.536821046827
Louisiana,1980,1092.18066424302,811.529779054962,922.414193504557,705.829664958856
Louisiana,1981,1064.70738152406,760.705999214239,914.765485097426,731.107066289199
Louisiana,1982,1028.86275799688,734.264768519797,884.418671539838,732.649874114471
Louisiana,1983,1041.51238209946,776.839296028803,883.660326975769,730.374769881258
Louisiana,1984,978.309997424221,738.546333344733,882.690108306936,729.297679354619
Louisiana,1985,1005.69183579819,772.793372904277,912.189247462383,754.389504505903
Louisiana,1986,991.15260470918,751.170664734588,892.874661290159,749.198743889411
Louisiana,1987,996.737595559235,770.679229462884,906.342745053712,764.918379058235
Louisiana,1988,1022.2843634216,789.021367960622,944.739570881409,817.403130400329
Louisiana,1989,1051.31545355163,818.222911385887,935.488609021249,826.704735834229
Louisiana,1990,1073.88598718573,787.726062015838,945.350128083396,835.959374780024
Louisiana,1991,1073.72629440705,776.989336217784,970.21031329069,846.283194523176
Louisiana,1992,1033.75209313768,761.135949775895,941.092280430733,835.54568416794
